Nº;Gestión por;Contactado;Posibilidad;Visitado ABUVI;NOMBRE;Comunidad Autónoma;Provincia;Localidad / Municipio / Pueblo;Nombre;Empresa;Teléfono 1;Teléfono 2;WEB;WEB2;EMAIL;Observaciones 2025 2026;PRECIO;IVA;nº estancias;nº habitac;nº cabañas;nº tiendas;campa para tiendas;nº aparcamientos;menú adaptado ;Comedor cerrado;Piscina;Pista polideportiva;Pinar o similar en campa;Observaciones campa 24;Observaciones 23;Observaciones 25;Datos erroneos
1;0;0;si;0;Villaduke Esaventura;Andalucía;CORDOBA;Villanueva del Duque;Rocío / Fernando;0;613397968;955323364;https://esaventura.es/;0;atencionalcliente@esaventura.es;Se nos va de precio;35;No;20;12 + 2 grandes;6 (de 8 personas);0;0;0;0;0;si;0;0;0;7Oct22: van a mirar si podemos meter tiendas, y si acepta perros. Les comento que se nos va de precio;0;0
2;0;0;0;0;0;Andalucía;CORDOBA;Villanueva del Duque;0;0;0;0;https://esaventura.es/;0;0;0;35;No;20;12 + 2 grandes;6 (de 8 personas);0;0;0;0;0;si;0;0;0;0;0;0
3;0;0;no;0;Lájara;Andalucía;CORDOBA;0;0;0;655438535;669374556;http://www.laljara.com/;0;info@laljara.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6Oct22: me contestan por email que no tienen capacidad para nuestro grupo y que están reformandolo;0;0
4;0;0;0;0;"Las cabañas ""Los búfalos""";Andalucía;Huelva;Cumbres Mayores;0;0;959710372;627821876;https://xn--lascabaas-r6a.com/instalaciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;si;0;Waingunga;Andalucía;HUELVA;Lepe (junto);Fabián;0;655865631;0;https://waingunga.com/;0;ceo@waingunga.com;(aneacamp) Se nos va de precio;40;No;35;23 habitaciones (con baño) 160 camas;0;12 (max 5 plazas con colchón);0;si;si;0;si;0;0;0;14oct22: (aneacamp) // muy buena la estancia // a 15 minutos playa o portugal / 20 años / ** posibilidad de negociar - podrían llegar a los 35€ **;0;0
6;0;0;0;0;Campamento Fuente del Roble;Andalucía;JAEN;Cazorla;Jesús;0;629822737;0;https://www.fuentedelroble.com/;0;info@fuentedelroble.com;0;0;0;0;10??;0;0;0;0;0;0;0;0;0;0;me pregunta el precio / le digo que la quincena es entre 270 y 300€ (20/día) / Va a mirarlo pues tiene otras cosas cerrados… ;0;0
7;0;0;si;@;Cabañas del Pintado;Andalucía;SEVILLA;Cazalla de la Sierra;Rafael;0;955954011;0;https://elpintado.com/grupos-empresas/;0;campamentos@elpintado.com;caro;34;No;35;6 con baño;29 cabaña de hasta 8 plaza;0;0;0;0;0;0;0;0;0;7Oct22: email , quedo en llamar. 4 nov: me pasa la info al email del campa - caro / 9nov22: le contesto que se nos va de presu;0;0
8;Jana;0;no;si 2011;Campamento Virgen del Camino;Aragón;Huesca;Oto;Ramón / Roxana;0;974486213;649109253;http://www.vallebroto.com/virgendelcamino/;0;info@alberguerioaragon.com;http://www.ordesa.net/campamentovirgendelcamino/tarifas.htm;0;0;46;12 (difirenetes );34;0;si;0;0;0;0;0;0;0;7oct22: tienen reservado la 1ª semana desde hace cinco años;0;0
9;Marta;0;0;0;Campa. Montes Universales;Aragón;TERUEL;Orihuela del Tremedal;0;0;978714004 //  978 71 43 27;0;https://www.orihueladeltremedal.es/turismo/estancias-al-aire-libre/;0;0;Ayuntamiento;0;0;200;no;no;0;0;0;0;0;0;0;0;0;Ayuntamiento/ 5 EUR POR DÍA!!!!!!!;0;0
10;Aída;0;NO;SI;Palacio de la Teyería;Asturias;ASTURIAS;Mestas de Con;Jesús;0;942318120;0;https://alberguesasturjoven.com/cangas-de-onis-alojamientos-casas-rurales-y-albergues-para-grupos/;0;0;Pequeño;30;No;0;0;37 entre cabañas y albergue;0;0;Posibilidad de alquilar prado de al lado para aparcar por 5.000 eur.;0;0;0;0;0;0;0;0;0
11;Nacho;0;0;0;campa;Castilla La Mancha;Albacete;Riopar;Israel;0;646070336;0;0;0;0;0;0;0;39;0;35 cabañas y refugio con 5 habitaciones. 4 de 6 pzas y 1 de 4 pzas.;0;0;0;0;0;0;0;0;0;0;0;0
12;Nacho;45961;0;0;"Campamento juvenil ""San Juan";Castilla La Mancha;Albacete;Riopar;0;0;630483028;0;Contacto Campamento San Juan Riópar Albacete.;0;info@animartealbacete.com;Asociaciones inscritas en Registro de C-LM 20% desc. No cogen tlf, enviado correo electrónico.;40,84;si;0;0;35;0;0;0;0;250;si;si;si;0;6Oct22: ocupado en 2023 y siguientes. Siempre le reservan esa fecha;0;0
13;Nacho;45948;NO;0;Campa. Lancha del pinillo;Castilla La Mancha;AVILA;Piedralaves;0;0;659455853;918665236;CAMPAMENTO LANCHA EL PINILLO | Albergue Valle de la Salud;0;ndosa@tualbergue.com; 6 cabañas (de 10, 12, 14,16 y 20 plazas) ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Nacho;45945;SI;0;Campa. Valle del Tietar;Castilla La Mancha;AVILA;Piedralaves;Vanessa;0;600954090;639136217;https://www.campamentovalledeltietar.com/index.php;0;info@campamentovalledeltietar.com;Comedor con 140 dentro y 60 en el porche.  Son 7 cabañas y 4 habitaciones grupales en el video de youtube:  https://www.youtube.com/watch?v=cZ8dcnz7HrY;33,2142857142857;SI;26;8 +7;9+2;si hay posibilidad pero campa pequeña;si;fuera;0;si + abierto;si;si (techada);si;0;a poco de la charca de la nieta;0;0
15;Marta;0;0;si;Albergue Hostel La Fuente;Castilla La Mancha;CIUDAD REAL;Alcoba de los montes;0;0;926697331;606387503;https://reaj.com/albergues/campamento-juvenil-la-fuente/;0;alberguesclm@jccm.es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Marta;0;si;0;Camp Puente Retama;Castilla La Mancha;CIUDAD REAL;Puebla Don Rodrigo;Ángel;0;649627141;0;https://asociacionanimate.com/tours/campamento-multiaventura-en-puebla-de-don-rodrigo/;0;0;PRERESERVADO (por él);23,3;Si;37;2 (con baño para 10 - literas);35 (tres literas de de 2);no ellos / nosotros sí; ;si;si;si;si (25x12);si (40x20);si;0;5Oct22: funciona por whatsapp -- enviado, quedo en hablar con él la semana que viene. Está liado. // 13Oct22: carpa de 8x12 con vaporizadores, - parque de equilibrio, dos zonas de servicios/ he intentado ajustar el precio para los peques, pero no . Negociado que nos regale regalará una actividad (rocódromo, fiesta de la espuma... --> intentaré que sean dos);0;(no lo pasan por 27€)
17;Nacho;0;no;si;Campa de Arcas;Castilla La Mancha;CUENCA;Arcas;0;0;619107383;961465459;https://www.campamentodearcas.net/;0;campamentodearcas@gmail.com;Abuvi 2022;0;0;47;0;0;10 tipis;0;0;0;0;0;0;0;0;0;0;0
18;Nacho;0;0;@;Campamento alto Tajo;Castilla La Mancha;CUENCA;Beteta;Iván;0;910052429;653834812;https://campamentoaltotajo.es/contacto-albergue/;0;info@campamentoaltotajo.es;(nos lo ofrece campamentos.info);0;0;0;0;0;0;0;0;0;0;0;0;0;0;7Oct22: quedo en remitir email;0;0
19;Nacho;0;0;si 2020;Campa Los Palancares;Castilla La Mancha;CUENCA;Los palancares;Nieves (gerente);0;92969258040/ 5 330105;655 56 90 37 Nieves// 665 44 66 62 // 653 54 28 35;www.sana-food.com;0;sana-food@hotmail.com;estuvimos hace 3 años;0;0;0;0;65;0;0;0;0;0;0;0;0;0;estuvimos hace 3 años;0;0
